INSTANCE,SET, MEAN_P1, MEAN_P2, MEAN_C, K, MEAN_D, N, DOM/MINC_CHECKS, DOM/MINC_TIME, DEG/MINC_CHECKS, DEG/MINC_TIME, DOMDEG/MINC_CHECKS, DOMDEG/MINC_TIME, K/MINC_CHECKS, K/MINC_TIME, WDEG/MINC_CHECKS, WDEG/MINC_TIME, DOMWDEG/MINC_CHECKS, DOMWDEG/MINC_TIME, MAXP2/MINC_CHECKS, MAXP2/MINC_TIME, MAXC/MINC_CHECKS, MAXC/MINC_TIME
0000.xml,Hard RB Sat,0.58667,0.30612,0.58401,0.97491,14,25,3631599,5304,1846289,2730,1376950,1950,1033913,1497,2078036,3088,1520417,2121,914803,1357,5758833,8720
0001.xml,Hard RB Sat,0.61667,0.29082,0.61766,0.96358,14,25,1904597,2636,1839490,2683,1343992,1856,1098126,1513,3530600,5023,1715820,2308,9998875,14180,8041150,11528
0002.xml,Hard RB Sat,0.44667,0.36735,0.41104,0.92987,14,25,63264,78,8173,15,57888,93,134887,187,117487,187,60635,93,8054,15,180871,280
0003.xml,Hard RB Sat,0.45333,0.37755,0.44495,0.97727,14,25,1002030,1450,16664,15,138972,218,235112,343,365443,577,134127,202,3512063,5397,19972,31
0004.xml,Hard RB Sat,0.55333,0.31122,0.56736,0.93808,14,25,222861,312,87313,124,524403,733,24759,31,324524,483,300104,421,65121,93,767944,1138
0005.xml,Hard RB Sat,0.33667,0.45408,0.33496,0.9266,14,25,359967,546,194673,327,123456,187,147296,218,496919,826,108388,171,7892262,12932,399074,670
0006.xml,Hard RB Sat,0.55333,0.31633,0.52111,0.95679,14,25,1358083,1825,90655,124,21957,31,13035,31,458639,670,328933,452,2071857,2979,120743,187
0007.xml,Hard RB Sat,0.36,0.43367,0.334,0.93074,14,25,1242246,1856,143047,234,50852,62,13854,31,101972,156,140388,202,3685565,5928,561750,904
0008.xml,Hard RB Sat,0.32,0.4898,0.30165,0.97918,14,25,170910,265,453473,748,381967,592,322368,530,561192,967,424924,670,73045,124,809429,1419
0009.xml,Hard RB Sat,0.13,0.79592,0.10648,0.93943,14,25,14919,15,922,15,940,0,929,0,922,0,940,0,922,15,922,0
0010.xml,Hard RB Sat,0.49,0.34694,0.49116,0.94935,14,25,4453112,6177,1341046,2043,1080195,1560,908314,1326,1485708,2293,1491043,2152,16690258,24913,2040063,3182
0011.xml,Hard RB Sat,0.48667,0.34184,0.47465,0.92567,14,25,192417,265,34199,62,18325,15,18054,31,105190,171,19611,15,27100,46,187192,265
0012.xml,Hard RB Sat,0.64333,0.28061,0.67381,0.96346,14,25,407910,546,492525,686,348980,483,314098,436,578747,795,508671,702,142437,202,3318424,4695
0013.xml,Hard RB Sat,0.61333,0.29592,0.60944,0.97851,14,25,7505343,9999,6794401,9516,5144130,6957,4350039,5974,10859584,15506,5771095,7878,13696803,19624,24446423,34819
0014.xml,Hard RB Sat,0.48,0.36735,0.47114,0.99927,14,25,1984430,2730,130534,187,281369,390,94838,124,137600,218,274296,374,4110882,6037,73029,109
0015.xml,Hard RB Sat,0.5,0.34184,0.50388,0.95103,14,25,173890,234,56104,78,66560,93,29396,46,190704,280,78393,93,1051332,1497,18707,31
0016.xml,Hard RB Sat,0.56,0.31122,0.56748,0.94939,14,25,730040,982,208526,312,231118,327,189633,249,425136,624,233570,312,427243,592,395116,561
0017.xml,Hard RB Sat,0.5,0.34184,0.49835,0.95103,14,25,81849,109,369744,546,131224,187,128574,171,429196,624,129538,187,204981,296,432634,639
0018.xml,Hard RB Sat,0.46,0.36224,0.43358,0.94083,14,25,713480,951,86361,140,144611,202,62683,93,63703,93,66161,93,260549,374,404879,624
0019.xml,Hard RB Sat,0.63333,0.28061,0.62319,0.94848,14,25,2025114,2589,612950,858,16004,15,27373,31,450675,624,32186,31,3210850,4321,2882513,3915
0020.xml,Hard RB Sat,0.4,0.40306,0.40179,0.93841,14,25,841480,1170,316498,483,42309,62,10798,15,225401,343,42856,62,823571,1248,556035,889
0021.xml,Hard RB Sat,0.60667,0.29592,0.60459,0.96787,14,25,1228358,1606,99578,124,493753,655,49869,62,316650,436,550522,733,618055,826,4812689,6692
0022.xml,Hard RB Sat,0.44,0.37245,0.47005,0.93219,14,25,28139,46,46517,62,49642,78,48637,78,49696,62,60788,78,3160122,4711,148705,234
0023.xml,Hard RB Sat,0.37667,0.42857,0.36968,0.95847,14,25,475134,686,1014521,1591,585817,858,518611,764,887386,1404,640856,936,644865,982,1214995,1950
0024.xml,Hard RB Sat,0.52333,0.32653,0.54934,0.9407,14,25,808218,1076,728810,1029,630642,858,528461,717,547296,764,560305,764,1074176,1497,3535518,5054
0025.xml,Hard RB Sat,0.47333,0.36224,0.47219,0.9681,14,25,1667608,2277,197493,296,118754,156,129135,187,297805,436,135226,187,7031401,10218,323455,483
0026.xml,Hard RB Sat,0.66667,0.27041,0.65407,0.9557,14,25,2794349,3541,800716,1092,42754,46,38533,31,2046105,2730,654393,858,19606401,26208,1039215,1435
0027.xml,Hard RB Sat,0.48,0.35204,0.47488,0.94709,14,25,731943,998,438391,639,435630,592,359116,499,648483,936,426531,592,1981887,2839,2891850,4258
0028.xml,Hard RB Sat,0.59667,0.29082,0.6027,0.93233,14,25,735949,951,130404,171,234045,312,269310,343,1599061,2199,986979,1294,924587,1279,43833,62
0029.xml,Hard RB Sat,0.66,0.27551,0.63824,0.96721,14,25,15769335,20170,1357980,1872,918350,1170,428575,577,2292392,3120,882276,1154,26523227,35661,830446,1154
0030.xml,Hard RB Sat,0.52,0.33673,0.54381,0.97081,14,25,130631,171,576574,826,447331,608,363850,499,616789,904,467899,655,491522,670,758796,1123
0031.xml,Hard RB Sat,0.50333,0.34184,0.50958,0.95737,14,25,896127,1232,641473,904,367741,514,453156,639,1012449,1450,365487,499,2744104,3915,4086983,5881
0032.xml,Hard RB Sat,0.53,0.32143,0.53224,0.9345,14,25,14091,15,1509659,2199,949444,1248,798766,1092,1319992,1887,1022341,1357,19043,31,3730464,5335
0033.xml,Hard RB Sat,0.45333,0.36735,0.43989,0.94375,14,25,1234357,1700,207724,312,116973,171,186739,265,85981,124,126196,187,2397538,3510,333776,514
0034.xml,Hard RB Sat,0.50667,0.34184,0.4975,0.96371,14,25,100904,140,380829,561,343482,468,322798,436,257111,390,432807,592,3592275,5101,1878997,2730
0035.xml,Hard RB Sat,0.62333,0.28061,0.64718,0.93351,14,25,1253805,1606,923276,1216,329576,436,269946,358,56325,78,40408,46,136200,187,1002837,1404
0036.xml,Hard RB Sat,0.61333,0.29592,0.60196,0.97851,14,25,15527064,20202,5410785,7410,4005473,5226,3369358,4492,9913824,13665,4247120,5553,15933954,21793,21888686,30685
0037.xml,Hard RB Sat,0.37,0.43367,0.37382,0.9566,14,25,902655,1310,625500,967,489033,733,447307,655,717307,1138,554797,826,2796116,4352,2409032,3884
0038.xml,Hard RB Sat,0.23667,0.58673,0.2961,0.95095,14,25,7080,15,43885,78,39474,62,40851,62,44090,78,37898,62,119726,202,72910,140
0039.xml,Hard RB Sat,0.27,0.53571,0.32632,0.94197,14,25,38260,62,22442,31,30677,46,30668,62,27453,46,31115,46,525829,873,23320,46
0040.xml,Hard RB Sat,0.45333,0.36735,0.46509,0.94375,14,25,1264388,1747,230884,327,142316,202,119497,171,150063,218,135329,187,3798979,5600,432609,655
0041.xml,Hard RB Sat,0.55,0.31122,0.56511,0.93243,14,25,20815,31,23603,31,48334,62,66089,93,537364,764,68730,93,740459,1014,56518,78
0042.xml,Hard RB Sat,0.48333,0.34694,0.48848,0.93643,14,25,215029,296,928182,1326,631943,858,541597,764,682999,982,756717,1045,1576327,2246,3019742,4399
0043.xml,Hard RB Sat,0.39,0.42347,0.39974,0.97664,14,25,175130,265,554456,826,370854,546,369853,561,489745,748,481393,717,3496555,5366,1778830,2776
0044.xml,Hard RB Sat,0.29,0.5051,0.33697,0.92755,14,25,62301,93,53686,93,60312,93,55047,93,58320,93,56195,78,58096,93,114152,202
